MetricType,UtilInfo.version,UtilInfo.metricType,UtilInfo.frequency,UtilInfo.mtms,UtilInfo.name,UtilInfo.uuid,SampleInfo.timeStamp,SampleInfo.numOfSamplesAggregated,SampleInfo.status,ViosUtil.id,ViosUtil.uuid,ViosUtil.name,ViosUtil.state,EnergyPowerUtil.powerReading,EnergyThermalUtil.entityId,EnergyThermalUtil.entityInstance,EnergyThermalUtil.temperatureReading,
AVG,1.3.0,Aggregated,7200,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-27T02:00:00-0500,24,0,-,-,-,-,1342.471,1,Inlet,22.000,
MIN,1.3.0,Aggregated,7200,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-27T02:00:00-0500,24,0,-,-,-,-, 1308,1,Inlet, 22,
MAX,1.3.0,Aggregated,7200,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-27T02:00:00-0500,24,0,-,-,-,-, 1463,1,Inlet, 22,
AVG,1.3.0,Aggregated,7200,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-27T04:00:00-0500,24,0,-,-,-,-,1336.900,1,Inlet,22.000,
MIN,1.3.0,Aggregated,7200,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-27T04:00:00-0500,24,0,-,-,-,-, 1303,1,Inlet, 22,
MAX,1.3.0,Aggregated,7200,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-27T04:00:00-0500,24,0,-,-,-,-, 1427,1,Inlet, 22,
AVG,1.3.0,Aggregated,7200,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-27T06:00:00-0500,24,0,-,-,-,-,1340.079,1,Inlet,22.000,
MIN,1.3.0,Aggregated,7200,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-27T06:00:00-0500,24,0,-,-,-,-, 1313,1,Inlet, 22,
MAX,1.3.0,Aggregated,7200,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-27T06:00:00-0500,24,0,-,-,-,-, 1447,1,Inlet, 22,
AVG,1.3.0,Aggregated,7200,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-27T08:00:00-0500,24,0,-,-,-,-,1369.046,1,Inlet,22.000,
MIN,1.3.0,Aggregated,7200,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-27T08:00:00-0500,24,0,-,-,-,-, 1324,1,Inlet, 22,
MAX,1.3.0,Aggregated,7200,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-27T08:00:00-0500,24,0,-,-,-,-, 1478,1,Inlet, 22,
AVG,1.3.0,Aggregated,7200,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-27T10:00:00-0500,24,0,-,-,-,-,1367.642,1,Inlet,22.650,
MIN,1.3.0,Aggregated,7200,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-27T10:00:00-0500,24,0,-,-,-,-, 1333,1,Inlet, 22,
MAX,1.3.0,Aggregated,7200,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-27T10:00:00-0500,24,0,-,-,-,-, 1477,1,Inlet, 23,
AVG,1.3.0,Aggregated,7200,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-27T12:00:00-0500,24,0,-,-,-,-,1367.000,1,Inlet,23.000,
MIN,1.3.0,Aggregated,7200,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-27T12:00:00-0500,24,0,-,-,-,-, 1333,1,Inlet, 23,
MAX,1.3.0,Aggregated,7200,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-27T12:00:00-0500,24,0,-,-,-,-, 1469,1,Inlet, 23,
AVG,1.3.0,Aggregated,7200,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-27T14:00:00-0500,24,0,-,-,-,-,1366.263,1,Inlet,22.308,
MIN,1.3.0,Aggregated,7200,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-27T14:00:00-0500,24,0,-,-,-,-, 1334,1,Inlet, 22,
MAX,1.3.0,Aggregated,7200,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-27T14:00:00-0500,24,0,-,-,-,-, 1475,1,Inlet, 23,
AVG,1.3.0,Aggregated,7200,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-27T16:00:00-0500,24,0,-,-,-,-,1374.317,1,Inlet,23.000,
MIN,1.3.0,Aggregated,7200,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-27T16:00:00-0500,24,0,-,-,-,-, 1337,1,Inlet, 23,
MAX,1.3.0,Aggregated,7200,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-27T16:00:00-0500,24,0,-,-,-,-, 1471,1,Inlet, 23,
AVG,1.3.0,Aggregated,7200,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-27T18:00:00-0500,24,0,-,-,-,-,1365.804,1,Inlet,22.521,
MIN,1.3.0,Aggregated,7200,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-27T18:00:00-0500,24,0,-,-,-,-, 1327,1,Inlet, 22,
MAX,1.3.0,Aggregated,7200,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-27T18:00:00-0500,24,0,-,-,-,-, 1463,1,Inlet, 23,
AVG,1.3.0,Aggregated,7200,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-27T20:00:00-0500,24,0,-,-,-,-,1354.638,1,Inlet,22.000,
MIN,1.3.0,Aggregated,7200,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-27T20:00:00-0500,24,0,-,-,-,-, 1324,1,Inlet, 22,
MAX,1.3.0,Aggregated,7200,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-27T20:00:00-0500,24,0,-,-,-,-, 1458,1,Inlet, 22,
AVG,1.3.0,Aggregated,7200,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-27T22:00:00-0500,24,0,-,-,-,-,1349.467,1,Inlet,22.000,
MIN,1.3.0,Aggregated,7200,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-27T22:00:00-0500,24,0,-,-,-,-, 1317,1,Inlet, 22,
MAX,1.3.0,Aggregated,7200,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-27T22:00:00-0500,24,0,-,-,-,-, 1443,1,Inlet, 22,
AVG,1.3.0,Aggregated,7200,9080-HEX*78A6AD8,SLO-9080-HEX-SN78A6AD8,1ef8693e-4092-3024-be57-3927f1b5c340,2026-05-28T00:00:00-0500,24,0,-,-,-,-,1341.479,1,Inlet,22.000,
